"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 09:39:06 GMT 2023","Fri Dec 08 09:39:11 GMT 2023","4990","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with anshika@gmail.com and Iamking@000",""
"passed","Fri Dec 08 09:43:40 GMT 2023","Fri Dec 08 09:43:43 GMT 2023","3302","client app","uiBasics.spec.ts","","","","@Web TC:Catch unshowing message and Verify text message",""
"passed","Fri Dec 08 09:39:11 GMT 2023","Fri Dec 08 09:39:20 GMT 2023","9023","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering iphone 13 pro",""
"passed","Fri Dec 08 09:43:17 GMT 2023","Fri Dec 08 09:43:23 GMT 2023","5604","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hidden elements",""
"passed","Fri Dec 08 09:43:49 GMT 2023","Fri Dec 08 09:43:54 GMT 2023","5056","client app","uiBasics.spec.ts","","","","@Web TC: Retrive all card titles from home page",""
"passed","Fri Dec 08 09:43:23 GMT 2023","Fri Dec 08 09:43:28 GMT 2023","5520","client app","hiddenElements.spec.ts","","","","@Web TC: Verify popup validation",""
"passed","Fri Dec 08 09:43:28 GMT 2023","Fri Dec 08 09:43:34 GMT 2023","6044","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hover and select needed item",""
"passed","Fri Dec 08 09:43:08 GMT 2023","Fri Dec 08 09:43:10 GMT 2023","1182","setup","auth.setupNew.spec.ts","","","","default authentication for client app",""
"passed","Fri Dec 08 09:43:54 GMT 2023","Fri Dec 08 09:43:56 GMT 2023","2381","client app","uiBasics.spec.ts","","","","@Web TC: Verify UI controls",""
"passed","Fri Dec 08 09:44:07 GMT 2023","Fri Dec 08 09:44:07 GMT 2023","35","teardown","auth.tearDown.spec.ts","Teardown","","","Remove ${authFile} after running client app tests",""
"passed","Fri Dec 08 09:43:43 GMT 2023","Fri Dec 08 09:43:49 GMT 2023","5438","client app","uiBasics.spec.ts","","","","@Web TC:Verify presence of iphone X in product list",""
"passed","Fri Dec 08 09:43:10 GMT 2023","Fri Dec 08 09:43:17 GMT 2023","7233","client app","hiddenElements.spec.ts","","","","@Web TC: Verify goBack and goForward methods",""
"passed","Fri Dec 08 09:43:34 GMT 2023","Fri Dec 08 09:43:40 GMT 2023","5521","client app","hiddenElements.spec.ts","","","","@Web TC: Verify work of screenshot and visual comparison",""
"passed","Fri Dec 08 09:39:32 GMT 2023","Fri Dec 08 09:39:40 GMT 2023","7711","demoqa","../tests-demoqa/textBoxAndFaker.spec.ts","@Demoqa Text Box Tests","","","TC 1: Fill out input text fields by data from faker lib",""
"passed","Fri Dec 08 09:39:40 GMT 2023","Fri Dec 08 09:41:28 GMT 2023","107927","demoqa","../tests-demoqa/textBoxKeysAndShort.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Fri Dec 08 09:43:56 GMT 2023","Fri Dec 08 09:43:59 GMT 2023","3025","client app","uiBasics.spec.ts","","","","@Web TC: Child windows handling",""
"passed","Fri Dec 08 09:43:59 GMT 2023","Fri Dec 08 09:44:06 GMT 2023","6958","client app","uiFrames.spec.ts","","","","@Web TC: Verify UI IFrame",""
"passed","Fri Dec 08 09:39:00 GMT 2023","Fri Dec 08 09:39:06 GMT 2023","5374","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1",""
"passed","Fri Dec 08 09:41:28 GMT 2023","Fri Dec 08 09:43:06 GMT 2023","98133","demoqa","../tests-demoqa/textBoxKeysAndShort.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Fri Dec 08 09:39:20 GMT 2023","Fri Dec 08 09:39:29 GMT 2023","9430","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering zara coat 3",""
