"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7632","@Web TC: Verify goBack and goForward methods","client app","Sun Nov 10 09:40:46 GMT 2024","passed","Sun Nov 10 09:40:54 GMT 2024","","hiddenElements.spec.ts","",""
"","5175","@Web TC: Verify work of screenshot and visual comparison","client app","Sun Nov 10 09:41:11 GMT 2024","passed","Sun Nov 10 09:41:16 GMT 2024","","hiddenElements.spec.ts","",""
"","34","Remove ${authFile} after running client app tests","teardown","Sun Nov 10 09:41:43 GMT 2024","passed","Sun Nov 10 09:41:43 GMT 2024","Teardown","auth.tearDown.spec.ts","",""
"","5515","@Web TC: Verify popup validation","client app","Sun Nov 10 09:40:58 GMT 2024","passed","Sun Nov 10 09:41:04 GMT 2024","","hiddenElements.spec.ts","",""
"","13494","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle","demoqa","Sun Nov 10 09:39:41 GMT 2024","passed","Sun Nov 10 09:39:55 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","",""
"","5211","@Web TC: Retrive all card titles from home page","client app","Sun Nov 10 09:41:24 GMT 2024","passed","Sun Nov 10 09:41:30 GMT 2024","","uiBasics.spec.ts","",""
"","6503","TC 1: Fill out input text fields by data from faker lib","demoqa","Sun Nov 10 09:39:35 GMT 2024","passed","Sun Nov 10 09:39:41 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxAndFaker.spec.ts","",""
"","5906","TC_1: Verify downloading 1 file","demoqa","Sun Nov 10 09:40:32 GMT 2024","passed","Sun Nov 10 09:40:38 GMT 2024","@Demoqa Download and Upload tests","../tests-demoqa/upalodAndDownload.spec.ts","",""
"","6630","@Web TC: Verify hover and select needed item","client app","Sun Nov 10 09:41:04 GMT 2024","passed","Sun Nov 10 09:41:10 GMT 2024","","hiddenElements.spec.ts","",""
"","3301","@Web TC:Catch unshowing message and Verify text message","client app","Sun Nov 10 09:41:16 GMT 2024","passed","Sun Nov 10 09:41:19 GMT 2024","","uiBasics.spec.ts","",""
"","3543","@Web TC: Child windows handling","client app","Sun Nov 10 09:41:32 GMT 2024","passed","Sun Nov 10 09:41:36 GMT 2024","","uiBasics.spec.ts","",""
"","4527","TC_2: Verify uploading 1 file","demoqa","Sun Nov 10 09:40:38 GMT 2024","passed","Sun Nov 10 09:40:42 GMT 2024","@Demoqa Download and Upload tests","../tests-demoqa/upalodAndDownload.spec.ts","",""
"","4174","TC: Verify success login to client app with anshika@gmail.com and Iamking@000","client app","Sun Nov 10 09:39:11 GMT 2024","passed","Sun Nov 10 09:39:15 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","1120","default authentication for client app","setup","Sun Nov 10 09:40:44 GMT 2024","passed","Sun Nov 10 09:40:46 GMT 2024","","auth.setupNew.spec.ts","",""
"","7122","@Web TC: Verify UI IFrame","client app","Sun Nov 10 09:41:36 GMT 2024","passed","Sun Nov 10 09:41:43 GMT 2024","","uiFrames.spec.ts","",""
"","11733","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts","demoqa","Sun Nov 10 09:40:20 GMT 2024","passed","Sun Nov 10 09:40:32 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","",""
"","2329","@Web TC: Verify UI controls","client app","Sun Nov 10 09:41:30 GMT 2024","passed","Sun Nov 10 09:41:32 GMT 2024","","uiBasics.spec.ts","",""
"","5425","@Web TC:Verify presence of iphone X in product list","client app","Sun Nov 10 09:41:19 GMT 2024","passed","Sun Nov 10 09:41:24 GMT 2024","","uiBasics.spec.ts","",""
"","13525","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle","demoqa","Sun Nov 10 09:40:07 GMT 2024","passed","Sun Nov 10 09:40:20 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","",""
"","8664","TC: E2E for ordering IPHONE 13 PRO","client app","Sun Nov 10 09:39:15 GMT 2024","passed","Sun Nov 10 09:39:24 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","5819","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1","client app","Sun Nov 10 09:39:05 GMT 2024","passed","Sun Nov 10 09:39:11 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","4724","@Web TC: Verify hidden elements","client app","Sun Nov 10 09:40:54 GMT 2024","passed","Sun Nov 10 09:40:58 GMT 2024","","hiddenElements.spec.ts","",""
"","9127","TC: E2E for ordering ZARA COAT 3","client app","Sun Nov 10 09:39:24 GMT 2024","passed","Sun Nov 10 09:39:33 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","11561","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts","demoqa","Sun Nov 10 09:39:55 GMT 2024","passed","Sun Nov 10 09:40:07 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","",""
