"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 09:43:04 GMT 2024","Sun Oct 27 09:43:10 GMT 2024","5482","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hover and select needed item",""
"passed","Sun Oct 27 09:39:26 GMT 2024","Sun Oct 27 09:39:34 GMT 2024","8513","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering IPHONE 13 PRO",""
"passed","Sun Oct 27 09:42:46 GMT 2024","Sun Oct 27 09:42:46 GMT 2024","983","setup","auth.setupNew.spec.ts","","","","default authentication for client app",""
"passed","Sun Oct 27 09:42:54 GMT 2024","Sun Oct 27 09:42:59 GMT 2024","5010","client app","hiddenElements.spec.ts","","","","@Web TC: Verify hidden elements",""
"passed","Sun Oct 27 09:43:18 GMT 2024","Sun Oct 27 09:43:24 GMT 2024","5653","client app","uiBasics.spec.ts","","","","@Web TC:Verify presence of iphone X in product list",""
"passed","Sun Oct 27 09:39:45 GMT 2024","Sun Oct 27 09:39:52 GMT 2024","6886","demoqa","../tests-demoqa/textBoxAndFaker.spec.ts","@Demoqa Text Box Tests","","","TC 1: Fill out input text fields by data from faker lib",""
"passed","Sun Oct 27 09:41:46 GMT 2024","Sun Oct 27 09:42:43 GMT 2024","57800","demoqa","../tests-demoqa/upalodAndDownload.spec.ts","@Demoqa Download and Upload tests","","","TC_2: Verify uploading 1 file",""
"passed","Sun Oct 27 09:41:07 GMT 2024","Sun Oct 27 09:41:46 GMT 2024","38478","demoqa","../tests-demoqa/upalodAndDownload.spec.ts","@Demoqa Download and Upload tests","","","TC_1: Verify downloading 1 file",""
"passed","Sun Oct 27 09:39:21 GMT 2024","Sun Oct 27 09:39:26 GMT 2024","5064","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with anshika@gmail.com and Iamking@000",""
"passed","Sun Oct 27 09:41:02 GMT 2024","Sun Oct 27 09:41:07 GMT 2024","5640","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
"passed","Sun Oct 27 09:43:24 GMT 2024","Sun Oct 27 09:43:29 GMT 2024","5142","client app","uiBasics.spec.ts","","","","@Web TC: Retrive all card titles from home page",""
"passed","Sun Oct 27 09:43:40 GMT 2024","Sun Oct 27 09:43:40 GMT 2024","32","teardown","auth.tearDown.spec.ts","Teardown","","","Remove ${authFile} after running client app tests",""
"passed","Sun Oct 27 09:43:34 GMT 2024","Sun Oct 27 09:43:40 GMT 2024","5650","client app","uiFrames.spec.ts","","","","@Web TC: Verify UI IFrame",""
"passed","Sun Oct 27 09:39:52 GMT 2024","Sun Oct 27 09:40:03 GMT 2024","11149","demoqa","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Sun Oct 27 09:42:59 GMT 2024","Sun Oct 27 09:43:04 GMT 2024","5287","client app","hiddenElements.spec.ts","","","","@Web TC: Verify popup validation",""
"passed","Sun Oct 27 09:42:47 GMT 2024","Sun Oct 27 09:42:54 GMT 2024","7255","client app","hiddenElements.spec.ts","","","","@Web TC: Verify goBack and goForward methods",""
"passed","Sun Oct 27 09:43:29 GMT 2024","Sun Oct 27 09:43:31 GMT 2024","2164","client app","uiBasics.spec.ts","","","","@Web TC: Verify UI controls",""
"passed","Sun Oct 27 09:43:15 GMT 2024","Sun Oct 27 09:43:18 GMT 2024","3365","client app","uiBasics.spec.ts","","","","@Web TC:Catch unshowing message and Verify text message",""
"passed","Sun Oct 27 09:39:03 GMT 2024","Sun Oct 27 09:39:21 GMT 2024","17320","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1",""
"passed","Sun Oct 27 09:40:50 GMT 2024","Sun Oct 27 09:41:01 GMT 2024","11180","demoqa","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","@Demoqa Text Box Tests","","","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle",""
"passed","Sun Oct 27 09:39:34 GMT 2024","Sun Oct 27 09:39:43 GMT 2024","8622","client app","clientAppWithExternalDataAndParametriazation.spec.ts","","","","TC: E2E for ordering ZARA COAT 3",""
"passed","Sun Oct 27 09:43:31 GMT 2024","Sun Oct 27 09:43:34 GMT 2024","2804","client app","uiBasics.spec.ts","","","","@Web TC: Child windows handling",""
"passed","Sun Oct 27 09:43:10 GMT 2024","Sun Oct 27 09:43:15 GMT 2024","4742","client app","hiddenElements.spec.ts","","","","@Web TC: Verify work of screenshot and visual comparison",""
"passed","Sun Oct 27 09:40:03 GMT 2024","Sun Oct 27 09:40:50 GMT 2024","47256","demoqa","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","@Demoqa Text Box Tests","","","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts",""
