"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8337","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts","demoqa","Sat Nov 16 09:42:18 GMT 2024","passed","Sat Nov 16 09:42:26 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","",""
"","4257","TC: Verify success login to client app with nspprotest@gmail.com and Pl@ywright_test_m1","client app","Sat Nov 16 09:39:36 GMT 2024","passed","Sat Nov 16 09:39:40 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","10347","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle","demoqa","Sat Nov 16 09:42:08 GMT 2024","passed","Sat Nov 16 09:42:18 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortOld.spec.ts","",""
"","5138","@Web TC:Verify presence of iphone X in product list","client app","Sat Nov 16 09:43:39 GMT 2024","passed","Sat Nov 16 09:43:45 GMT 2024","","uiBasics.spec.ts","",""
"","7970","TC: E2E for ordering ZARA COAT 3","client app","Sat Nov 16 09:39:53 GMT 2024","passed","Sat Nov 16 09:40:00 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","3989","TC_2: Verify uploading 1 file","demoqa","Sat Nov 16 09:42:59 GMT 2024","passed","Sat Nov 16 09:43:03 GMT 2024","@Demoqa Download and Upload tests","../tests-demoqa/upalodAndDownload.spec.ts","",""
"","7195","TC 1: Fill out input text fields by data from faker lib","demoqa","Sat Nov 16 09:40:03 GMT 2024","passed","Sat Nov 16 09:40:10 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxAndFaker.spec.ts","",""
"","33123","TC_1: Verify downloading 1 file","demoqa","Sat Nov 16 09:42:26 GMT 2024","passed","Sat Nov 16 09:42:59 GMT 2024","@Demoqa Download and Upload tests","../tests-demoqa/upalodAndDownload.spec.ts","",""
"","66020","TC 2: E2E. Enter and remove data from input text fields and via keys and shortcuts and cycle","demoqa","Sat Nov 16 09:40:10 GMT 2024","passed","Sat Nov 16 09:41:16 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","",""
"","7446","@Web TC: Verify goBack and goForward methods","client app","Sat Nov 16 09:43:07 GMT 2024","passed","Sat Nov 16 09:43:14 GMT 2024","","hiddenElements.spec.ts","",""
"","1068","default authentication for client app","setup","Sat Nov 16 09:43:05 GMT 2024","passed","Sat Nov 16 09:43:06 GMT 2024","","auth.setupNew.spec.ts","",""
"","6555","@Web TC: Verify UI IFrame","client app","Sat Nov 16 09:43:55 GMT 2024","passed","Sat Nov 16 09:44:01 GMT 2024","","uiFrames.spec.ts","",""
"","6517","@Web TC: Verify hover and select needed item","client app","Sat Nov 16 09:43:24 GMT 2024","passed","Sat Nov 16 09:43:31 GMT 2024","","hiddenElements.spec.ts","",""
"","5093","@Web TC: Verify work of screenshot and visual comparison","client app","Sat Nov 16 09:43:31 GMT 2024","passed","Sat Nov 16 09:43:36 GMT 2024","","hiddenElements.spec.ts","",""
"","32","Remove ${authFile} after running client app tests","teardown","Sat Nov 16 09:44:02 GMT 2024","passed","Sat Nov 16 09:44:02 GMT 2024","Teardown","auth.tearDown.spec.ts","",""
"","3323","@Web TC:Catch unshowing message and Verify text message","client app","Sat Nov 16 09:43:36 GMT 2024","passed","Sat Nov 16 09:43:39 GMT 2024","","uiBasics.spec.ts","",""
"","4026","TC: Verify success login to client app with anshika@gmail.com and Iamking@000","client app","Sat Nov 16 09:39:40 GMT 2024","passed","Sat Nov 16 09:39:44 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
"","2305","@Web TC: Verify UI controls","client app","Sat Nov 16 09:43:50 GMT 2024","passed","Sat Nov 16 09:43:52 GMT 2024","","uiBasics.spec.ts","",""
"","5179","@Web TC: Retrive all card titles from home page","client app","Sat Nov 16 09:43:45 GMT 2024","passed","Sat Nov 16 09:43:50 GMT 2024","","uiBasics.spec.ts","",""
"","51796","TC 3: E2E. Enter and remove data from input text fields and via keys and shortcuts","demoqa","Sat Nov 16 09:41:16 GMT 2024","passed","Sat Nov 16 09:42:08 GMT 2024","@Demoqa Text Box Tests","../tests-demoqa/textBoxKeysAndShortNew.spec.ts","",""
"","5002","@Web TC: Verify popup validation","client app","Sat Nov 16 09:43:19 GMT 2024","passed","Sat Nov 16 09:43:24 GMT 2024","","hiddenElements.spec.ts","",""
"","2858","@Web TC: Child windows handling","client app","Sat Nov 16 09:43:52 GMT 2024","passed","Sat Nov 16 09:43:55 GMT 2024","","uiBasics.spec.ts","",""
"","5174","@Web TC: Verify hidden elements","client app","Sat Nov 16 09:43:14 GMT 2024","passed","Sat Nov 16 09:43:19 GMT 2024","","hiddenElements.spec.ts","",""
"","8732","TC: E2E for ordering IPHONE 13 PRO","client app","Sat Nov 16 09:39:44 GMT 2024","passed","Sat Nov 16 09:39:53 GMT 2024","","clientAppWithExternalDataAndParametriazation.spec.ts","",""
